Commitment position key;Year;Name of beneficiary;Coordinator;VAT Number of beneficiary;Address;City;Postal code;Country / Territory;Amount;Geographical Zone;Expense Type;Co-financing rate;Total amount;Subject of grant or contract;Responsible Department;Budget line name and number;Action Type;Funding Type
AID.CTR.233619.01.1;2010;YE LTYOPPYA FEDERALAWI DIMOKRASIYAWI RIPEBLIK*REPUBLIQUE FEDERALE DEMOCRATIQUE D ETHIOPIE FEDERAL DEMOCRATIC REPUBLIC OF ETHIOPIA;no;;-;-;;Ethiopia;;;Operational;N.A.;135.000.000,00 €;SPSP II - Commitment for all remaining tranches;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231551.01.1;2010;REPUBLIC OF UGANDA*REPUBLIQUE DEL OUGANDA;no;;-;-;;Uganda;;Uganda;Operational;N.A.;122.000.000,00 €;Remaining MDG-C tranches: 3rd - 6th Fixed Tranche, 1st - 5th APT, and 1st - 3rd MDG-T;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.231720.01.1;2010;JAMHURI YA MWUNGANO WA TANZANIA*REPUBLIQUE UNIE DE TANZANIE UNITED REPUBLIC OF TANZANIA;no;;-;-;;Tanzania;;;Operational;N.A.;70.000.000,00 €;Road Transport Sector Policy Support Programme ;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259800.01.1;2010;REPUBLIC OF MALAWI*REPUBLIQUE DU MALAWI;no;;-;-;;Malawi;;Malawi;Operational;N.A.;65.000.000,00 €;Road Transport Sector Policy Support Programme - Budget Support;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.238644.01.1;2010;ASSOCIAZIONE ALISEI*;yes;;VIA MERULANA 272;ROMA;00185;Italy;;Liberia;Operational;100 %;60.000.000,00 €;Support to the Liberia Reconstruction Trust Fund;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Grant
AID.CTR.244540.01.1;2010;LEFATSHE LA BOTSWANA*REPUBLIC OF BOTSWANA REPUBLIQUE DU BOTSWANA;no;;-;-;;Botswana;;Botswana;Operational;N.A.;60.000.000,00 €;Budget support tranches - HRD SPSP;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259074.01.1;2010;REPUBLICA DOMINICANA*REPUBLIQUE DOMINICAINE DOMINICAN REPUBLIC;no;;-;-;;Dominican Republic;;Dominican Republic;Operational;N.A.;58.500.000,00 €;general budget support to fight against poverty - specific commitment;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.247431.01.1;2010;REPUBLIQUE DU MALI*REPUBLIC OF MALI;no;;-;-;;Mali;;Mali;Operational;N.A.;44.000.000,00 €;PARADDER - Tranches fixes et variables d''appui budgétaire sectoriel sur la période 2010 - 2014;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.243924.01.1;2010;BURKINA FASO*;no;;-;-;;Burkina Faso;;Burkina Faso;Operational;N.A.;38.000.000,00 €;Appui budgétaire sectoriel eau potable et assainissement.;Directorate-General for Development and Cooperation ? EuropeAid;A Envelope - programmable aid (02.10.10.01);European Development Fund (10th EDF);Public procurement and other expenditure
AID.CTR.259584.01.1;2010;REPUBLIQUE DEMOCRATIQUE DU CONGO*DEMOCRATIC REPUBLIC OF THE CONGO;no;;-;-;;Congo (Democratic Republic of);;Congo (Democratic Republic of the);Operational;N.A.;35.508.014,00 €;Appui budgétaire V-Flex;Directorate-General for Development and Cooperation ? EuropeAid;B Envelope - Non-programmable aid - Devco (02.10.21.10);European Development Fund (10th EDF);Public procurement and other expenditure
